PRKCZ	SKI
ARHGEF16	DYNLT4
RERE	SLC2A5
ATP13A2	UBR4
SNRNP40	SRSF4
SERINC2	ZCCHC17
OSCP1	SOX2-OT
GNL2	SF3A3
INPP5B	SF3A3
BMP8B	CAP1
BMP8B	RLF
MYCL	RLF
MYCL	SMAP2
MFSD2A	ZMPSTE24
CAP1	MACF1
PPT1	RLF
RLF	UBE2J2
RLF	SMAP2
COL9A2	RLF
ELOVL1	SMYD3
NSUN4	TFRC
FAAH	KIF24
FGGY	TESK2
ALG6	BMPR1B
PRKACB	SFMBT2
DPYD	UNK
IGSF3	MAN1A2
MAN1A2	REL
HAO2	VANGL1
PHGDH	WDPCP
GATAD2B	PRKAB2
NTRK1	NTRK1
PBX1	TCF3
CD247	GPR161
DARS2	ZFR
TRMT1L	XPR1
TFB2M	ZNF695
ALLC	LINC02210
ROCK2	SH3YL1
LRATD1	ID4
KLHL29	PSMA8
GPN1	KLHL29
PPP1CB	PSME4
ALK	TPM3
ALK	STRN
ALK	EML4
ALK	RANBP2
ALK	ATIC
ALK	TFG
ALK	NPM1
ALK	PTPN3
ALK	KIF5B
ALK	KLC1
ALK	CLTC
ALK	TPM4
MAP4K3	PRKCE
EML4	THADA
NRXN1	PLEKHG4B
BCL11A	EPHA5
EHBP1	FAM161A
EVA1A	TTC28
FUNDC2P2	HCN1
MAL	XRCC1
GPR39	MGAT5
HNMT	MGAT5
RPRM	TNS1
ACVR1C	MGAT5
B3GALT1	STK39
RAPGEF4	RCAN2
ADAM23	SGO2
TRAF3IP1	ZBTB8B
MTMR14	TTLL3
EOMES	SLC4A7
NICN1	RASA2
NEK4	SFMBT1
CACNA2D3	FLNB
POU1F1	TMPRSS15
EPHA6	NPEPPS
ALCAM	EPHA6
GUCA1C	SLCO2A1
GSK3B	IMPG2
MYLK	TNFSF13B
MGLL	SLCO2A1
RUVBL1	TMCC1
RUVBL1	TXNDC11
BFSP2	PIK3CB
STAG1	STXBP5L
PXYLP1	SPSB4
PLSCR1	SLC25A36
HLTF	OTOL1
CP	WWTR1
C3orf79	PYDC2
BCHE	IQCJ
GPR160	NCEH1
FNDC3B	PHC3
KCNMB2	NRXN1
CCDC39	MCF2L2
SOX2	TPRG1
ATP11B	POU3F1
ATP11B	SI
ATP11B	DCUN1D1
ATP11B	ZNF595
ATP11B	PDE3B
ATP11B	TPTEP1
MCF2L2	PPM1L
MCF2L2	MIR548A3
EHHADH	SENP5
BCL6	BCL6
BCL6	IGH
BCL6	IGL
LPP	ST6GAL1
LPP	TPRG1
PAK2	VGLL3
FYTTD1	WRN
LRCH3	MIR570
FGFR3	TACC3
FGFR3	FGFR3
KCTD8	SGMS1
PDGFRA	SCAF11
ADAMTS3	SNX30
COX18	ZFAT
CCSER1	UGT2A1
ADAMTS16	MRPS28
CMBL	NDUFAF6
MARCHF6	IRX4
ROPN1L	SEMA5A
OSMR	USP37
FGF10	RICTOR
IL6ST	KDM1B
NAIP	OCLN
ARHGEF28	UTP15
BHMT2	BIRC6
CDKL3	SKP1
JADE2	UBE2B
CTNNA1	HEYL
MATR3	UBE2D2
CD74	ROS1
KCNIP1	KCTD14
FAM50B	PPP1R3G
DEK	EYS
HLA-DOA	MUC21
FAM83B	HTR1E
BEND6	TRIM38
CGA	ZFYVE9
GABRR2	ME1
ASCC3	UBE2E1
ROS1	TPM3
ROS1	SLC34A2
ROS1	CD74
ROS1	PWWP2A
ROS1	HLA-A
ROS1	ROS1
ROS1	GOPC
ROS1	EZR
ROS1	SHTN1
ROS1	ERC1
ROS1	PPFIBP1
ROS1	LRIG3
ROS1	CLIP1
ROS1	MYO5B
ROS1	SDC4
GOPC	ROS1
GOPC	KDELR2
CEP85L	SCML4
TPD52L1	TRMT11
EZR	ROS1
KDELR2	ROS1
ANKMY2	ISPD
JAZF1	PHF1
JAZF1	SUZ12
AMPH	FDFT1
GRB10	VOPP1
EGFR	EGFR
MET	MET
ANKRD7	DUS4L
CHCHD3	MET
ACTR3C	SORCS1
AGPAT5	TXNDC16
DPYSL2	SFTPB
HMBOX1	ZFAND3
PURG	UBAP1
NRG1	NRG1
KCNU1	LETM2
EIF4EBP1	PRKAA1
BAG4	FGFR1
FGFR1	FGFR1
ADAM9	RNF170
CHD7	PVT1
CLVS1	PVT1
CA1	HTATIP2
SLC7A13	WDTC1
COX6C	OXR1
OXR1	YWHAZ
OXR1	RSPO2
ANGPT1	CSMD3
ANGPT1	CXCL12
NUDCD1	SYBU
PKHD1L1	PTK2
CSMD3	MYC
MYC	MYC
MYC	IGH
MYC	IGL
PVT1	SLC7A7
KCNK9	NRDC
LY6H	PVT1
DOCK8	KANK1
JAK2	RIC1
CDKN2A	FOCAD
PLAA	RUSC2
FAM219A	S1PR5
NTRK2	NTRK2
GPR158	WAC
KIF5B	RET
EPC1	PHF1
EPC1	SUZ12
CCDC7	UBE2D1
RET	TRIM27
RET	TRIM24
RET	PCM1
RET	HOOK3
RET	KIF5B
RET	RET
RET	NCOA4
RET	CCDC6
RET	ERC1
