RG	ID	Q25	Q50	Q75	MEAN	STD	MIN-INS	MAX-INS	RESCUE-MIN-INS	RESCUE-MAX-INS	NPAIRS	INTSIZE	STALLS	DELAY	
0	249	0	0	0	0	10000	1	40000	1	1000	0	0	0	6	
0	250	0	0	0	0	10000	1	40000	1	1000	0	0	0	5	
0	251	0	0	0	0	10000	1	40000	1	1000	0	0	0	4	
0	252	0	0	0	0	10000	1	40000	1	1000	0	0	0	3	
0	253	0	0	0	0	10000	1	40000	1	1000	0	0	0	2	
0	254	0	0	0	0	10000	1	40000	1	1000	0	0	0	1	
1	249	0	0	0	0	10000	1	40000	1	1000	0	0	0	6	
1	250	0	0	0	0	10000	1	40000	1	1000	0	0	0	5	
1	251	0	0	0	0	10000	1	40000	1	1000	0	0	0	4	
1	252	0	0	0	0	10000	1	40000	1	1000	0	0	0	3	
1	253	0	0	0	0	10000	1	40000	1	1000	0	0	0	2	
1	254	0	0	0	0	10000	1	40000	1	1000	0	0	0	1	
2	249	0	0	0	0	10000	1	40000	1	1000	0	0	0	6	
2	250	0	0	0	0	10000	1	40000	1	1000	0	0	0	5	
2	251	0	0	0	0	10000	1	40000	1	1000	0	0	0	4	
2	252	0	0	0	0	10000	1	40000	1	1000	0	0	0	3	
2	253	0	0	0	0	10000	1	40000	1	1000	0	0	0	2	
2	254	0	0	0	0	10000	1	40000	1	1000	0	0	0	1	
3	249	0	0	0	0	10000	1	40000	1	1000	0	0	0	6	
3	250	0	0	0	0	10000	1	40000	1	1000	0	0	0	5	
3	251	0	0	0	0	10000	1	40000	1	1000	0	0	0	4	
3	252	0	0	0	0	10000	1	40000	1	1000	0	0	0	3	
3	253	0	0	0	0	10000	1	40000	1	1000	0	0	0	2	
3	254	0	0	0	0	10000	1	40000	1	1000	0	0	0	1	
4	249	0	0	0	0	10000	1	40000	1	1000	0	0	0	6	
4	250	0	0	0	0	10000	1	40000	1	1000	0	0	0	5	
4	251	0	0	0	0	10000	1	40000	1	1000	0	0	0	4	
4	252	0	0	0	0	10000	1	40000	1	1000	0	0	0	3	
4	253	0	0	0	0	10000	1	40000	1	1000	0	0	0	2	
4	254	0	0	0	0	10000	1	40000	1	1000	0	0	0	1	
5	249	0	0	0	0	10000	1	40000	1	1000	0	0	0	6	
5	250	0	0	0	0	10000	1	40000	1	1000	0	0	0	5	
5	251	0	0	0	0	10000	1	40000	1	1000	0	0	0	4	
5	252	0	0	0	0	10000	1	40000	1	1000	0	0	0	3	
5	253	0	0	0	0	10000	1	40000	1	1000	0	0	0	2	
5	254	0	0	0	0	10000	1	40000	1	1000	0	0	0	1	
0	0	219	290	365	293.776	115.133	1	803	6	582	91767	92491	0	0	
1	0	220	287	357	290.124	108.145	1	768	20	560	91465	92351	0	0	
2	0	218	285	355	288.048	108.177	1	766	18	558	91684	92532	0	0	
3	0	212	279	347	280.489	106.216	1	752	15	546	91567	92456	0	0	
4	0	221	289	360	291.994	109.559	1	777	18	566	91508	92339	0	0	
5	0	216	283	354	286.195	108.513	1	768	15	557	92006	92851	0	0	
