PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [1500x:inf), 0.01
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [1000x:1500x), 0.01
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [500x:1000x), 0.03
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [100x:500x), 5.85
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [50x:100x), 90.69
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [20x:50x), 2.00
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [15x:20x), 0.13
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [10x:15x), 0.13
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [3x:10x), 0.24
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [1x:3x), 0.13
PCT of bases in /storage1/fs1/gtac-mgi/Active/CLE/reference/dragen_align_inputs/hg38/all_sequences_hg38_500kb_window.bed with coverage [0x:1x), 0.78
