COVERAGE SUMMARY,,Aligned bases,219245655170
COVERAGE SUMMARY,,Aligned bases in genome,219245655170,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,72.15
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,93.37
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.4*mean) over genome,92.87
COVERAGE SUMMARY,,PCT of genome with coverage [1500x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [1000x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x: inf),0.02
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: inf),4.89
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: inf),91.14
COVERAGE SUMMARY,,PCT of genome with coverage [  20x: inf),93.19
COVERAGE SUMMARY,,PCT of genome with coverage [  15x: inf),93.37
COVERAGE SUMMARY,,PCT of genome with coverage [  10x: inf),93.59
COVERAGE SUMMARY,,PCT of genome with coverage [   3x: inf),94.08
COVERAGE SUMMARY,,PCT of genome with coverage [   1x: inf),94.49
COVERAGE SUMMARY,,PCT of genome with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x:1500x),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x:1000x),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: 500x),4.87
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: 100x),86.25
COVERAGE SUMMARY,,PCT of genome with coverage [  20x:  50x),2.05
COVERAGE SUMMARY,,PCT of genome with coverage [  15x:  20x),0.18
COVERAGE SUMMARY,,PCT of genome with coverage [  10x:  15x),0.21
COVERAGE SUMMARY,,PCT of genome with coverage [   3x:  10x),0.49
COVERAGE SUMMARY,,PCT of genome with coverage [   1x:   3x),0.41
COVERAGE SUMMARY,,PCT of genome with coverage [   0x:   1x),5.51
COVERAGE SUMMARY,,Average chr X coverage over genome,70.59
COVERAGE SUMMARY,,Average chr Y coverage over genome,2.45
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,5256.99
COVERAGE SUMMARY,,Average autosomal coverage over genome,75.22
COVERAGE SUMMARY,,Median autosomal coverage over genome,78.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.96
COVERAGE SUMMARY,,Aligned reads,1686325572
COVERAGE SUMMARY,,Aligned reads in genome,1686325572,100.00
