COVERAGE SUMMARY,,Aligned bases,181812177471
COVERAGE SUMMARY,,Aligned bases in QC coverage region,179243804445,98.59
COVERAGE SUMMARY,,Average alignment coverage over QC coverage region,61.31
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over QC coverage region,99.38
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.4*mean) over QC coverage region,97.95
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [1500x: inf),0.01
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [1000x: inf),0.02
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 500x: inf),0.04
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 100x: inf),1.18
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  50x: inf),79.48
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  20x: inf),98.93
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  15x: inf),99.30
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  10x: inf),99.49
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   3x: inf),99.76
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   1x: inf),99.88
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [1000x:1500x),0.01
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 500x:1000x),0.02
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [ 100x: 500x),1.15
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  50x: 100x),78.29
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  20x:  50x),19.46
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  15x:  20x),0.36
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [  10x:  15x),0.19
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   3x:  10x),0.28
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   1x:   3x),0.11
COVERAGE SUMMARY,,PCT of QC coverage region with coverage [   0x:   1x),0.12
COVERAGE SUMMARY,,Average chr X coverage over QC coverage region,31.39
COVERAGE SUMMARY,,Average chr Y coverage over QC coverage region,49.33
COVERAGE SUMMARY,,Average mitochondrial coverage over QC coverage region,0.00
COVERAGE SUMMARY,,Average autosomal coverage over QC coverage region,63.10
COVERAGE SUMMARY,,Median autosomal coverage over QC coverage region,63.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over QC coverage region,1.00
COVERAGE SUMMARY,,Aligned reads,1406106164
COVERAGE SUMMARY,,Aligned reads in QC coverage region,1385230594,98.52
