Depth,Overall
0,3600573
1,1837941
2,1491373
3,1343071
4,1250113
5,1174912
6,1125709
7,1082227
8,1053904
9,1031156
10,1029359
11,1041569
12,1080192
13,1142063
14,1243703
15,1409343
16,1659966
17,2008100
18,2491338
19,3091223
20,3844623
21,4727764
22,5715454
23,6767460
24,7825859
25,8848473
26,9821437
27,10639877
28,11318261
29,11829221
30,12187624
31,12403703
32,12552168
33,12707245
34,12880875
35,13215672
36,13742891
37,14531154
38,15667563
39,17188373
40,19164669
41,21596025
42,24504091
43,27832917
44,31595358
45,35780142
46,40259008
47,44948683
48,49887576
49,54838884
50,59759284
51,64535479
52,69100058
53,73295798
54,77096200
55,80459009
56,83217942
57,85388368
58,86973012
59,87829290
60,88122167
61,87735684
62,86786671
63,85301945
64,83328062
65,80884513
66,78087488
67,74924572
68,71548739
69,67926970
70,64206223
71,60367701
72,56518230
73,52684834
74,48876400
75,45198553
76,41622907
77,38176252
78,34888736
79,31759519
80,28825625
81,26061939
82,23513899
83,21138307
84,18953490
85,16954830
86,15130677
87,13461967
88,11956522
89,10578958
90,9343689
91,8243762
92,7244061
93,6365953
94,5578843
95,4877376
96,4264784
97,3731199
98,3258013
99,2845824
100,2482882
101,2161039
102,1886635
103,1648592
104,1446127
105,1271584
106,1117226
107,987657
108,875030
109,784867
110,701929
111,633844
112,574808
113,525818
114,483601
115,447269
116,414082
117,385920
118,362242
119,343479
120,327237
121,311990
122,297199
123,285469
124,273958
125,263759
126,252525
127,244746
128,238549
129,230558
130,222601
131,216374
132,210607
133,205115
134,199542
135,194573
136,188794
137,184143
138,178793
139,173656
140,168961
141,164915
142,160831
143,156470
144,154010
145,148428
146,145885
147,142513
148,137503
149,134116
150,131328
151,128413
152,125889
153,122705
154,119086
155,116743
156,113892
157,110508
158,107549
159,105239
160,102696
161,99618
162,96798
163,94861
164,92363
165,90337
166,88748
167,86395
168,84419
169,82689
170,80697
171,78304
172,76406
173,74776
174,73454
175,72754
176,70149
177,69070
178,68251
179,66560
180,64964
181,63701
182,62781
183,61177
184,60006
185,59219
186,57824
187,56823
188,55632
189,54528
190,53478
191,52150
192,51364
193,50602
194,49266
195,47781
196,47439
197,46174
198,45826
199,44781
200,43956
201,43026
202,42731
203,41802
204,41590
205,41089
206,40109
207,38853
208,39104
209,38490
210,37665
211,37553
212,36638
213,36732
214,35676
215,34993
216,34276
217,34255
218,33527
219,33137
220,32632
221,32432
222,31603
223,31172
224,30504
225,30393
226,29990
227,29912
228,29124
229,29078
230,28884
231,28270
232,28021
233,27929
234,27767
235,27261
236,26753
237,25935
238,25611
239,25581
240,25363
241,24740
242,24568
243,24542
244,24306
245,23968
246,23747
247,23471
248,22875
249,23188
250,22671
251,22471
252,22089
253,21814
254,21519
255,21258
256,21307
257,20690
258,20530
259,20144
260,20206
261,19838
262,19452
263,19532
264,19546
265,19357
266,19062
267,18728
268,18955
269,18724
270,18645
271,18236
272,18623
273,18047
274,18009
275,17479
276,17682
277,17389
278,17313
279,17288
280,17082
281,16555
282,16747
283,16443
284,16110
285,16267
286,16206
287,15810
288,15922
289,15572
290,15294
291,15084
292,15244
293,14951
294,14640
295,14694
296,14188
297,14421
298,14233
299,13986
300,13865
301,13532
302,13297
303,13389
304,13441
305,13505
306,13202
307,13424
308,12971
309,12997
310,12954
311,12864
312,12839
313,12547
314,12438
315,12195
316,11904
317,11793
318,11778
319,11752
320,11338
321,11564
322,11358
323,11382
324,11049
325,11111
326,10901
327,10985
328,10966
329,10778
330,10837
331,10542
332,10074
333,10103
334,10039
335,9651
336,9947
337,9520
338,9893
339,9442
340,9466
341,9405
342,9207
343,9149
344,8916
345,9048
346,9025
347,9109
348,8822
349,8649
350,8800
351,8677
352,8516
353,8480
354,8443
355,8330
356,8476
357,8446
358,8145
359,8266
360,8122
361,8123
362,8037
363,7930
364,7914
365,7938
366,7842
367,7799
368,7745
369,7703
370,7692
371,7739
372,7384
373,7477
374,7366
375,7441
376,7302
377,7063
378,7046
379,6975
380,6976
381,6708
382,6735
383,6756
384,6760
385,6683
386,6737
387,6620
388,6633
389,6457
390,6508
391,6536
392,6516
393,6503
394,6483
395,6231
396,6392
397,6468
398,6225
399,6041
400,6025
401,5977
402,5942
403,5819
404,5711
405,5829
406,5712
407,5683
408,5799
409,5801
410,5607
411,5583
412,5581
413,5642
414,5472
415,5343
416,5496
417,5316
418,5380
419,5259
420,5224
421,5200
422,5391
423,5270
424,5217
425,5101
426,5243
427,5047
428,5102
429,5038
430,4968
431,5020
432,5123
433,5026
434,5048
435,5062
436,4790
437,4875
438,4843
439,4705
440,4854
441,4653
442,4825
443,4637
444,4446
445,4599
446,4573
447,4545
448,4622
449,4602
450,4378
451,4528
452,4597
453,4456
454,4366
455,4525
456,4552
457,4411
458,4456
459,4474
460,4336
461,4480
462,4568
463,4526
464,4385
465,4331
466,4441
467,4152
468,4210
469,4099
470,4267
471,4146
472,4195
473,4110
474,4030
475,4004
476,4020
477,4031
478,3888
479,3821
480,3781
481,3783
482,3744
483,3705
484,3683
485,3801
486,3716
487,3718
488,3622
489,3562
490,3748
491,3679
492,3601
493,3524
494,3530
495,3518
496,3406
497,3293
498,3444
499,3586
500,3412
501,3330
502,3325
503,3273
504,3211
505,3247
506,3153
507,3164
508,3122
509,3103
510,3162
511,3210
512,3134
513,3001
514,3200
515,3053
516,3052
517,2966
518,2954
519,2933
520,2978
521,2960
522,2927
523,2825
524,2758
525,2799
526,2808
527,2826
528,2769
529,2853
530,2769
531,2795
532,2660
533,2631
534,2742
535,2693
536,2647
537,2643
538,2718
539,2622
540,2559
541,2581
542,2565
543,2572
544,2499
545,2473
546,2364
547,2463
548,2365
549,2429
550,2447
551,2384
552,2301
553,2271
554,2379
555,2379
556,2243
557,2327
558,2208
559,2208
560,2142
561,2108
562,2149
563,2130
564,2203
565,2127
566,2073
567,2145
568,2115
569,2033
570,2011
571,2035
572,1995
573,2086
574,1997
575,2001
576,2126
577,1988
578,1925
579,1868
580,1853
581,1955
582,1932
583,1933
584,1874
585,1941
586,1774
587,1781
588,1803
589,1826
590,1930
591,1937
592,1969
593,1723
594,1831
595,1900
596,1849
597,1738
598,1911
599,1763
600,1825
601,1718
602,1697
603,1740
604,1731
605,1737
606,1731
607,1627
608,1705
609,1676
610,1672
611,1623
612,1567
613,1621
614,1578
615,1601
616,1544
617,1584
618,1553
619,1509
620,1591
621,1622
622,1560
623,1560
624,1577
625,1557
626,1562
627,1549
628,1622
629,1523
630,1515
631,1530
632,1618
633,1559
634,1572
635,1452
636,1504
637,1466
638,1496
639,1481
640,1503
641,1410
642,1406
643,1394
644,1432
645,1416
646,1446
647,1449
648,1439
649,1438
650,1392
651,1351
652,1375
653,1362
654,1391
655,1353
656,1335
657,1372
658,1335
659,1434
660,1450
661,1342
662,1437
663,1441
664,1411
665,1359
666,1454
667,1346
668,1324
669,1317
670,1256
671,1288
672,1310
673,1312
674,1346
675,1258
676,1273
677,1310
678,1301
679,1268
680,1300
681,1244
682,1273
683,1224
684,1151
685,1355
686,1196
687,1184
688,1350
689,1204
690,1224
691,1169
692,1246
693,1262
694,1244
695,1250
696,1192
697,1176
698,1240
699,1142
700,1172
701,1236
702,1205
703,1164
704,1153
705,1129
706,1157
707,1132
708,1119
709,1170
710,1207
711,1117
712,1056
713,1082
714,1189
715,1108
716,1129
717,1083
718,1043
719,1091
720,1059
721,1089
722,1047
723,1061
724,1044
725,1043
726,1035
727,1037
728,1005
729,969
730,989
731,1001
732,1030
733,1047
734,1019
735,990
736,1004
737,934
738,969
739,1053
740,1006
741,1009
742,952
743,1046
744,969
745,951
746,959
747,943
748,943
749,875
750,1006
751,937
752,938
753,942
754,941
755,982
756,902
757,939
758,939
759,929
760,1004
761,917
762,915
763,879
764,915
765,906
766,948
767,937
768,900
769,864
770,908
771,933
772,891
773,907
774,885
775,898
776,918
777,893
778,947
779,872
780,839
781,926
782,894
783,912
784,875
785,820
786,839
787,796
788,821
789,826
790,758
791,873
792,827
793,774
794,830
795,814
796,795
797,786
798,748
