TRIMMER STATISTICS,,Total input reads,1591057212
TRIMMER STATISTICS,,Total input bases,240249639012
TRIMMER STATISTICS,,Total input bases R1,120124819506
TRIMMER STATISTICS,,Total input bases R2,120124819506
TRIMMER STATISTICS,,Average input read length,151
TRIMMER STATISTICS,,Total trimmed reads,143963220,9.05
TRIMMER STATISTICS,,Total trimmed bases,6071327983,2.53
TRIMMER STATISTICS,,Average bases trimmed per read,3
TRIMMER STATISTICS,,Average bases trimmed per trimmed read,42
TRIMMER STATISTICS,,Remaining poly-G K-mers R1 3prime,175694,0.02
TRIMMER STATISTICS,,Remaining poly-G K-mers R2 3prime,2217533,0.28
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R1 3prime,867054,0.11
TRIMMER STATISTICS,,Poly-G soft trimmed reads unfiltered R2 3prime,4504090,0.57
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R1 3prime,32,0.57
TRIMMER STATISTICS,,Poly-G soft trimmed reads filtered R2 3prime,19,0.14
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R1 3prime,29444092,0.02
TRIMMER STATISTICS,,Poly-G soft trimmed bases unfiltered R2 3prime,569508171,0.47
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R1 3prime,359,0.04
TRIMMER STATISTICS,,Poly-G soft trimmed bases filtered R2 3prime,200,0.01
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R1 3prime,69471592,8.73
TRIMMER STATISTICS,,Adapter trimmed reads unfiltered R2 3prime,74472805,9.36
TRIMMER STATISTICS,,Adapter trimmed reads filtered R1 3prime,5632,100.00
TRIMMER STATISTICS,,Adapter trimmed reads filtered R2 3prime,13191,100.00
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R1 3prime,3026880106,2.52
TRIMMER STATISTICS,,Adapter trimmed bases unfiltered R2 3prime,3041834602,2.53
TRIMMER STATISTICS,,Adapter trimmed bases filtered R1 3prime,762385,89.65
TRIMMER STATISTICS,,Adapter trimmed bases filtered R2 3prime,1850890,92.92
TRIMMER STATISTICS,,Total filtered reads,18823,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R1,5632,0.00
TRIMMER STATISTICS,,Reads filtered for minimum read length R2,13191,0.00
