Depth,Overall
0,22833766
1,2319748
2,1523261
3,1272426
4,1135335
5,1051958
6,985723
7,926529
8,879130
9,837241
10,812626
11,793217
12,781522
13,769396
14,758374
15,750579
16,745679
17,746840
18,741242
19,749799
20,747161
21,758954
22,770321
23,785413
24,801127
25,823956
26,850876
27,879724
28,919254
29,952661
30,993893
31,1038659
32,1089047
33,1144062
34,1198839
35,1268385
36,1349483
37,1440025
38,1537624
39,1668066
40,1838150
41,2038822
42,2294245
43,2615560
44,3033747
45,3546756
46,4184344
47,4965540
48,5917418
49,7076453
50,8464363
51,10106481
52,12011443
53,14218811
54,16753212
55,19594981
56,22747025
57,26235433
58,30000832
59,34052827
60,38348927
61,42856368
62,47415304
63,52095510
64,56724532
65,61318780
66,65744832
67,69932503
68,73830102
69,77373984
70,80443335
71,83056551
72,85150974
73,86713690
74,87716588
75,88147743
76,88020990
77,87327473
78,86120043
79,84506441
80,82370437
81,79873266
82,77031552
83,73913188
84,70505604
85,66925698
86,63244934
87,59486121
88,55685272
89,51878302
90,48118802
91,44463065
92,40905795
93,37473021
94,34187501
95,31099149
96,28176412
97,25450350
98,22898885
99,20527199
100,18342967
101,16340557
102,14524657
103,12867851
104,11360932
105,10007750
106,8812915
107,7730938
108,6764646
109,5920545
110,5174235
111,4509882
112,3935229
113,3427513
114,2989591
115,2610697
116,2279532
117,1994716
118,1744601
119,1536192
120,1355742
121,1198046
122,1060816
123,950477
124,853690
125,768734
126,698614
127,639685
128,586573
129,541562
130,503719
131,472431
132,441669
133,415851
134,396733
135,377256
136,360291
137,345981
138,333282
139,319030
140,309655
141,300092
142,289960
143,282853
144,273926
145,266921
146,259368
147,254311
148,247645
149,242264
150,236945
151,230437
152,225328
153,220892
154,215388
155,210807
156,206263
157,201094
158,197716
159,194570
160,188686
161,184598
162,180962
163,177257
164,172397
165,168527
166,166157
167,161116
168,156915
169,154817
170,149592
171,147748
172,144087
173,140356
174,136433
175,132301
176,129873
177,126945
178,123058
179,119034
180,116268
181,113820
182,111280
183,109632
184,107725
185,104581
186,102322
187,100049
188,97814
189,95406
190,93161
191,89929
192,88253
193,86878
194,84837
195,82424
196,81482
197,80217
198,77995
199,76705
200,75497
201,73903
202,72589
203,71767
204,70148
205,68795
206,67548
207,66211
208,65021
209,64179
210,61373
211,60614
212,59198
213,58935
214,58295
215,57289
216,56639
217,55426
218,55487
219,53702
220,53066
221,52462
222,51982
223,51292
224,50353
225,49967
226,48964
227,48074
228,47046
229,47066
230,46309
231,45377
232,45380
233,44149
234,43623
235,42539
236,42167
237,41711
238,40373
239,40677
240,39839
241,38649
242,38600
243,37581
244,37459
245,36682
246,35878
247,35720
248,35092
249,34893
250,34335
251,33932
252,33238
253,33203
254,32540
255,31683
256,31422
257,31198
258,30997
259,30277
260,30163
261,29778
262,28996
263,28452
264,28406
265,28008
266,27875
267,27038
268,26743
269,26946
270,26555
271,26271
272,25771
273,25511
274,24579
275,25057
276,24607
277,24263
278,24160
279,23467
280,23447
281,23391
282,22912
283,22453
