Depth,Overall
0,167396365
1,8099887
2,4474511
3,3223132
4,2610922
5,2215914
6,1957596
7,1771844
8,1633544
9,1517725
10,1422252
11,1348447
12,1291686
13,1244871
14,1190560
15,1168798
16,1127704
17,1105528
18,1083237
19,1071491
20,1057786
21,1050310
22,1049246
23,1055887
24,1062116
25,1066860
26,1074771
27,1093309
28,1115472
29,1139823
30,1173978
31,1205154
32,1239321
33,1277614
34,1324896
35,1371885
36,1431129
37,1504436
38,1588027
39,1704191
40,1853939
41,2044476
42,2298573
43,2618744
44,3024552
45,3544388
46,4184444
47,4976320
48,5932957
49,7107747
50,8503571
51,10162191
52,12089315
53,14306282
54,16853214
55,19704632
56,22878192
57,26362034
58,30130011
59,34184527
60,38476161
61,42966875
62,47498585
63,52156271
64,56743898
65,61281497
66,65654964
67,69773841
68,73594139
69,77060689
70,80045760
71,82575077
72,84591125
73,86072449
74,86985291
75,87336388
76,87135358
77,86378817
78,85108935
79,83429912
80,81235779
81,78693108
82,75821951
83,72664622
84,69241983
85,65657215
86,61966535
87,58216457
88,54418113
89,50625045
90,46886552
91,43247994
92,39719189
93,36322555
94,33071728
95,30018381
96,27135337
97,24447944
98,21928261
99,19604897
100,17459983
101,15492652
102,13715648
103,12105991
104,10632666
105,9319398
106,8152951
107,7105298
108,6167431
109,5357335
110,4636175
111,3999583
112,3449588
113,2962544
114,2548547
115,2192153
116,1877566
117,1610047
118,1380313
119,1188533
120,1020625
121,879247
122,755743
123,656622
124,571944
125,500499
126,438832
127,390076
128,346022
129,312040
130,281475
131,256211
132,235138
133,216891
134,202566
135,190804
136,179998
137,170766
138,164602
139,157165
140,151547
141,146675
142,141667
143,136680
144,134388
145,131231
146,128904
147,125651
148,122825
149,121008
150,120447
151,117255
152,114630
153,112468
154,110494
155,108981
156,107409
157,105558
158,104336
159,102919
160,101426
161,100377
162,98266
163,96278
164,94911
165,93053
166,91016
167,88246
168,87564
169,85810
170,84750
171,83374
172,81014
173,78639
174,77024
175,75327
176,74238
177,72767
178,70571
179,68874
180,66650
181,65700
182,65051
183,63789
184,62162
185,61066
186,58946
187,57843
188,56784
189,55872
190,54633
191,52554
192,51459
193,50265
194,49595
195,47963
196,47967
197,46694
198,44751
199,44962
200,43710
201,42976
202,42044
203,40686
204,39785
205,39666
206,39872
207,38481
208,38383
209,37329
210,36796
211,36609
212,36093
213,35773
214,34995
215,34592
216,34016
217,33951
218,33327
219,33216
220,32562
221,31821
222,32152
223,30762
224,30904
225,31027
226,30095
227,30260
228,29610
229,28972
230,28733
231,28746
232,28243
233,27697
234,27576
235,27083
236,26824
237,26254
238,26052
239,25143
240,24930
241,24880
242,24339
243,23820
244,23325
245,23001
246,23178
247,22453
248,22289
249,22125
250,21836
251,21956
252,21069
253,20806
254,20663
255,20085
256,19897
257,19976
258,19385
259,19361
260,19126
261,18912
262,18373
263,18405
264,18143
265,17902
266,17787
267,17328
268,17378
269,17003
270,16692
271,16653
272,16333
273,16334
274,16086
275,15543
276,15497
277,15182
278,15179
279,14846
280,14716
281,14583
282,14388
283,14121
284,13952
285,13713
286,13638
287,13669
288,13435
289,13555
290,13286
291,13093
292,13114
293,12969
294,12932
295,12842
296,12602
297,12432
298,12084
299,11973
300,12270
301,11895
302,11474
303,11696
304,11281
305,11118
306,11026
307,11181
308,10885
309,10794
310,10862
311,10538
312,10829
313,10627
314,10328
315,10486
316,10390
317,10184
318,10082
319,9962
320,9946
321,10015
322,9856
323,9589
324,9469
325,9412
326,9305
327,8995
328,8941
329,9077
330,8818
331,8864
332,8622
333,8696
334,8631
335,8525
336,8478
337,8411
338,8045
339,8077
340,8038
341,8074
342,7859
343,7838
344,7656
345,7504
346,7520
347,7424
348,7437
349,7302
350,7151
351,7252
352,7096
353,7047
354,7005
355,7148
356,6695
357,6834
358,6870
359,6840
360,6772
361,6626
362,6624
363,6521
364,6373
365,6437
366,6214
367,6178
368,6119
369,6182
370,6164
371,6044
372,5865
373,5917
374,5895
375,5767
376,5637
377,5778
378,5577
379,5658
380,5499
381,5581
382,5570
383,5379
384,5362
385,5244
386,5297
387,5064
388,5078
389,4943
390,5159
391,4925
392,4762
393,4909
394,4944
395,4789
396,4776
397,4900
398,4857
399,4678
400,4760
401,4680
402,4610
403,4725
404,4648
405,4458
406,4519
407,4534
408,4356
409,4245
410,4230
411,4089
412,4002
413,4296
414,4129
415,3966
416,4013
417,3996
418,3817
419,3930
420,3919
421,3737
422,3692
423,3698
424,3624
425,3533
426,3475
427,3565
428,3451
429,3320
430,3355
431,3350
432,3317
433,3298
434,3396
435,3212
436,3179
437,3171
438,3006
439,2912
440,2991
441,2995
442,3039
443,2856
444,2750
445,2968
446,2739
447,2713
448,2724
449,2596
450,2745
451,2621
452,2674
453,2637
454,2659
455,2540
456,2611
457,2656
458,2537
459,2557
460,2508
461,2407
462,2399
463,2532
464,2506
465,2364
466,2494
467,2534
468,2429
469,2460
470,2485
471,2416
472,2384
473,2291
474,2416
475,2379
476,2229
477,2255
478,2197
479,2282
480,2254
481,2164
482,2118
483,2145
484,2036
485,2106
486,2010
487,2052
488,2036
489,1994
490,2013
491,1893
492,1934
493,1986
494,1956
495,1899
496,1930
497,1982
498,1858
499,1921
500,1890
501,1865
502,1843
503,1802
504,1815
505,1792
506,1735
507,1734
508,1760
509,1759
510,1744
511,1768
512,1768
513,1737
514,1620
515,1635
516,1628
517,1618
518,1623
519,1685
520,1578
521,1573
522,1658
523,1560
524,1520
525,1473
526,1525
527,1592
528,1481
529,1568
530,1523
531,1374
532,1350
533,1399
534,1449
535,1395
536,1480
537,1435
538,1422
539,1414
540,1397
541,1400
542,1402
543,1448
544,1410
545,1451
546,1417
547,1401
548,1401
549,1414
550,1344
551,1372
552,1329
553,1296
554,1325
555,1438
556,1354
557,1311
558,1228
559,1292
560,1286
561,1236
562,1256
563,1283
564,1307
565,1295
566,1231
567,1213
568,1246
569,1140
570,1160
571,1227
572,1170
573,1172
574,1136
575,1106
576,1144
577,1122
578,1135
579,1112
580,1128
581,1119
582,1039
583,1071
584,1018
585,1126
586,1156
587,1058
588,1066
589,1048
590,1048
591,1063
592,1100
593,1072
594,1056
595,1066
596,1012
597,1120
598,1086
599,1054
600,1094
601,993
602,951
603,1032
604,988
605,1009
606,986
607,1044
608,1019
609,1038
610,996
611,1016
612,940
613,1001
614,1014
615,1022
616,983
617,985
618,974
619,956
620,929
621,968
622,990
623,924
624,991
625,937
626,947
627,899
628,927
629,899
630,937
631,916
632,934
633,940
634,893
635,887
636,858
637,911
638,867
639,872
640,770
641,870
642,860
643,845
644,902
645,874
646,853
