COVERAGE SUMMARY,,Aligned bases,173684253622
COVERAGE SUMMARY,,Aligned bases in genome,173684253622,100.00
COVERAGE SUMMARY,,Average alignment coverage over genome,57.16
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,93.88
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.4*mean) over genome,92.82
COVERAGE SUMMARY,,PCT of genome with coverage [1500x: inf),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x: inf),0.02
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: inf),0.77
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: inf),74.78
COVERAGE SUMMARY,,PCT of genome with coverage [  20x: inf),93.31
COVERAGE SUMMARY,,PCT of genome with coverage [  15x: inf),93.72
COVERAGE SUMMARY,,PCT of genome with coverage [  10x: inf),93.99
COVERAGE SUMMARY,,PCT of genome with coverage [   3x: inf),94.52
COVERAGE SUMMARY,,PCT of genome with coverage [   1x: inf),94.94
COVERAGE SUMMARY,,PCT of genome with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x:1500x),0.00
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x:1000x),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: 500x),0.75
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: 100x),74.01
COVERAGE SUMMARY,,PCT of genome with coverage [  20x:  50x),18.54
COVERAGE SUMMARY,,PCT of genome with coverage [  15x:  20x),0.41
COVERAGE SUMMARY,,PCT of genome with coverage [  10x:  15x),0.27
COVERAGE SUMMARY,,PCT of genome with coverage [   3x:  10x),0.53
COVERAGE SUMMARY,,PCT of genome with coverage [   1x:   3x),0.42
COVERAGE SUMMARY,,PCT of genome with coverage [   0x:   1x),5.06
COVERAGE SUMMARY,,Average chr X coverage over genome,29.87
COVERAGE SUMMARY,,Average chr Y coverage over genome,24.64
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,8676.97
COVERAGE SUMMARY,,Average autosomal coverage over genome,60.82
COVERAGE SUMMARY,,Median autosomal coverage over genome,63.00
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,0.97
COVERAGE SUMMARY,,Aligned reads,1337719391
COVERAGE SUMMARY,,Aligned reads in genome,1337719391,100.00
