PCT of bases in wgs with coverage [1500x:inf), 0.00
PCT of bases in wgs with coverage [1000x:1500x), 0.00
PCT of bases in wgs with coverage [500x:1000x), 0.01
PCT of bases in wgs with coverage [100x:500x), 0.75
PCT of bases in wgs with coverage [50x:100x), 74.01
PCT of bases in wgs with coverage [20x:50x), 18.54
PCT of bases in wgs with coverage [15x:20x), 0.41
PCT of bases in wgs with coverage [10x:15x), 0.27
PCT of bases in wgs with coverage [3x:10x), 0.53
PCT of bases in wgs with coverage [1x:3x), 0.42
PCT of bases in wgs with coverage [0x:1x), 5.06
